aanbieden	aangeboden
aandoen	aangedaan
aangeven	aangegeven
aanhebben	aangehad
aankomen	aangekomen
aannemen	aangenomen
aanspreken	aangesproken
aanstaan	aangestaan
aantrekken	aangetrokken
achterlaten	achtergelaten
achteruitgaan	achteruitgegaan
aflopen	afgelopen
afsluiten	afgesloten
afspreken	afgesproken
afstaan	afgestaan
afvragen (zich)	afgevraagd
afwassen	afgewassen
bakken	gebakken
beginnen	begonnen
begraven	begraven
begrijpen	begrepen
bekijken	bekeken
beschrijven	beschreven
besluiten	besloten
bespreken	besproken
bestaan	bestaan
bewegen	bewogen
bezoeken	bezocht
bidden	gebeden
bieden	geboden
binnengaan	binnengegaan / binnengeweest
binnenkomen	binnengekomen
binnenlaten	binnengelaten
binnenlopen	binnengelopen
binnenrijden	binnengereden (heeft / is)
binnenroepen	binnengeroepen
blijken	gebleken
blijven	gebleven
breken	gebroken
brengen	gebracht
buigen	gebogen
buitengaan	buitengegaan / buitengeweest
buitenkomen	buitengekomen
buitenrijden	buitengereden (heeft / is)
denken	gedacht
dichtdoen	dichtgedaan
doorkijken	doorgekeken
doorlopen	doorgelopen (is / heeft)
dragen	gedragen
drinken	gedronken
eruitzien	eruitgezien
eten	gegeten
gaan	gegaan / geweest
genezen	genezen (heeft / is)
genieten	genoten
geven	gegeven
gieten	gegoten
hangen	gehangen
hebben	gehad
helpen	geholpen
herdenken	herdacht
heten	geheten
houden	gehouden
innemen	ingenomen
inrijden	ingereden (is / heeft)
insluiten	ingesloten
kiezen	gekozen
kijken	gekeken
klaarliggen	klaargelegen
klaarstaan	klaargestaan
klimmen	geklommen (heeft / is)
klinken	geklonken
komen	gekomen
kopen	gekocht
krijgen	gekregen
kunnen	gekund
lachen	gelachen
langsgaan	langsgegaan / langsgeweest
langskomen	langsgekomen
langslopen	langsgelopen
laten	gelaten
leegdrinken	leeggedronken
lesgeven	lesgegeven
lezen	gelezen
liegen	gelogen
liggen	gelegen
lijken	geleken
lopen	gelopen (heeft / is)
loslaten	losgelaten
meebrengen	meegebracht
meegaan	meegegaan / meegeweest
meekomen	meegekomen
meenemen	meegenomen
meerijden	meegereden (is / heeft)
meevallen	meegevallen
moeten	gemoeten
mogen	gemogen
nadenken	nagedacht
nemen	genomen
onderbreken	onderbroken
onderzoeken	onderzocht
ontbijten	ontbeten
onthouden	onthouden
ontslaan	ontslagen
ontstaan	ontstaan
ontvangen	ontvangen
opdrinken	opgedronken
openblijven	opengebleven
opendoen	opengedaan
openhouden	opengehouden
opeten	opgegeten
opgeven	opgegeven
ophebben	opgehad
ophouden	opgehouden
opnemen	opgenomen
opschieten	opgeschoten
opstaan	opgestaan
opvallen	opgevallen
opvangen	opgevangen
opzoeken	opgezocht
overnemen	overgenomen
oversteken	overgestoken
overvliegen	overgevlogen
rechtstaan	rechtgestaan
rijden	gereden (heeft / is)
roepen	geroepen
rondgaan	rondgegaan
rondkijken	rondgekeken
rondlopen	rondgelopen (heeft / is)
rondrijden	rondgereden (heeft / is)
ruiken	geroken
samenhangen	samengehangen
samenkomen	samengekomen
scheiden	gescheiden
scheren	geschoren
schijnen	geschenen
schoonhouden	schoongehouden
schrijven	geschreven
schrikken	geschrokken
slapen	geslapen
sluiten	gesloten
snijden	gesneden
spreken	gesproken
springen	gesprongen (heeft / is)
staan	gestaan
steken	gestoken
stelen	gestolen
sterven	gestorven
stijgen	gestegen
tegenvallen	tegengevallen
terugdenken	teruggedacht
teruggaan	teruggegaan / teruggeweest
terugkomen	teruggekomen
terugkrijgen	teruggekregen
terugrijden	teruggereden
terugvinden	teruggevonden
terugzien	teruggezien
thuisblijven	thuisgebleven
thuiskomen	thuisgekomen
trekken	getrokken
uitdoen	uitgedaan
uitgaan	uitgeweest / uitgegaan
uitrijden	uitgereden (is / heeft)
uitspreken	uitgesproken
uittrekken	uitgetrokken
vallen	gevallen
vechten	gevochten
verbieden	verboden
verdwijnen	verdwenen
vergelijken	vergeleken
vergeten	vergeten (heeft / is)
verkopen	verkocht
verliezen	verloren
verschijnen	verschenen
verstaan	verstaan
vertrekken	vertrokken
vinden	gevonden
vliegen	gevlogen (heeft / is)
voorbijgaan	voorbijgegaan
voorbijkomen	voorbijgekomen
voorschrijven	voorgeschreven
vragen	gevraagd
wassen	gewassen
wegdenken	weggedacht
wegen	gewogen
weggaan	weggegaan
weglopen	weggelopen
wegrijden	weggereden
weten	geweten
wijzen	gewezen
willen	gewild
winnen	gewonnen
worden	geworden
zeggen	gezegd
zien	gezien
zijn	geweest
zingen	gezongen
zitten	gezeten
zoeken	gezocht
zullen	â€”-
zwemmen	gezwommen (heeft / is)
zwijgen	gezwegen
